,version : 3.11.3
942,"""            """"hr_value"""" = 106;"""
943,offset = 6;
944,"""        },"""
945,{
946,"""            """"hr_value"""" = 139;"""
947,offset = 5;
948,"""        },"""
949,{
950,"""            """"hr_value"""" = 131;"""
951,offset = 5;
952,"""        },"""
953,{
954,"""            """"hr_value"""" = 107;"""
955,offset = 6;
956,"""        },"""
957,{
958,"""            """"hr_value"""" = 108;"""
959,offset = 5;
960,"""        },"""
961,{
962,"""            """"hr_value"""" = 126;"""
963,offset = 5;
964,"""        },"""
965,{
966,"""            """"hr_value"""" = 148;"""
967,offset = 6;
968,"""        },"""
969,{
970,"""            """"hr_value"""" = 127;"""
971,offset = 5;
972,"""        },"""
973,{
974,"""            """"hr_value"""" = 107;"""
975,offset = 6;
976,"""        },"""
977,{
978,"""            """"hr_value"""" = 120;"""
979,offset = 5;
980,"""        },"""
981,{
982,"""            """"hr_value"""" = 143;"""
983,offset = 5;
984,"""        },"""
985,{
986,"""            """"hr_value"""" = 120;"""
987,offset = 6;
988,"""        },"""
989,{
990,"""            """"hr_value"""" = 78;"""
991,offset = 14;
992,"""        },"""
993,{
994,"""            """"hr_value"""" = 115;"""
995,offset = 62;
996,"""        },"""
997,{
998,"""            """"hr_value"""" = 107;"""
999,offset = 5;
1000,"""        },"""
1001,{
1002,"""            """"hr_value"""" = 127;"""
1003,offset = 9;
1004,}
1005,);
1006,"""    """"offset_type"""" = minute;"""
1007,"""    type = """"heart_rate"""";"""
1008,}
1009,"""2021-12-29 12:22:09.473 receive data log :{length = 5,bytes = 0807020000}"""
1010,"""2021-12-29 12:22:09.483 write data log :{length = 5,bytes = 0805010000}"""
1011,"""2021-12-29 12:22:09.782 receive data log :{length = 20,bytes = 0805010ce4070c1c00000f6028000000ccad0020}"""
1012,"""2021-12-29 12:22:09.784 receive data log :{length = 20,bytes = 0805021271130000b90000006a0d0000ac080000}"""
1013,"""2021-12-29 12:22:09.786 receive data log :{length = 20,bytes = 0805031000000000000000000000000000000000}"""
1014,"""2021-12-29 12:22:09.789 receive data log :{length = 20,bytes = 0805041000000000000000000000000000000000}"""
1015,"""2021-12-29 12:22:09.791 receive data log :{length = 20,bytes = 0805051000000000000000000000000000000000}"""
1016,"""2021-12-29 12:22:09.792 receive data log :{length = 20,bytes = 0805061000000000000000000000000000000000}"""
1017,"""2021-12-29 12:22:09.793 receive data log :{length = 20,bytes = 0805071000000000000000000000000000000000}"""
1018,"""2021-12-29 12:22:09.795 receive data log :{length = 20,bytes = 0805081000000000000000000000000000000000}"""
1019,"""2021-12-29 12:22:09.940 receive data log :{length = 20,bytes = 0805091000000000000000000000000000000000}"""
1020,"""2021-12-29 12:22:10.254 receive data log :{length = 20,bytes = 08050a1000000000000000000000000000000000}"""
1021,"""2021-12-29 12:22:10.256 receive data log :{length = 20,bytes = 08050b1000000000000000000000000000000000}"""
1022,"""2021-12-29 12:22:10.258 receive data log :{length = 20,bytes = 08050c1000000000000000000000000000000000}"""
1023,"""2021-12-29 12:22:10.260 receive data log :{length = 20,bytes = 08050d1000000000000000000000000000000000}"""
1024,"""2021-12-29 12:22:10.263 receive data log :{length = 20,bytes = 08050e10000000003400059000a0c11380044440}"""
1025,"""2021-12-29 12:22:10.266 receive data log :{length = 20,bytes = 08050f1001b0007c0113200438c10d6003000000}"""
1026,"""2021-12-29 12:22:10.267 receive data log :{length = 20,bytes = 0805101000000000000000000000000000000000}"""
1027,"""2021-12-29 12:22:10.269 receive data log :{length = 20,bytes = 0805111000fc8112700558032040090000000000}"""
1028,"""2021-12-29 12:22:10.271 receive data log :{length = 20,bytes = 0805121000000000006cc535f00ec84643c0122c}"""
1029,"""2021-12-29 12:22:10.412 receive data log :{length = 20,bytes = 080513100429800b2880047000000000000090c0}"""
1030,"""2021-12-29 12:22:10.727 receive data log :{length = 20,bytes = 08051410049001ccc8574018208214e005288000}"""
1031,"""2021-12-29 12:22:10.729 receive data log :{length = 20,bytes = 0805151070000000000000000000000000000000}"""
1032,"""2021-12-29 12:22:10.731 receive data log :{length = 20,bytes = 0805161000000000000000000000000000000000}"""
1033,"""2021-12-29 12:22:10.733 receive data log :{length = 20,bytes = 080517100000000000bc40090002000000000000}"""
1034,"""2021-12-29 12:22:10.735 receive data log :{length = 20,bytes = 0805181000000000000000000088c11340047080}"""
1035,"""2021-12-29 12:22:10.736 receive data log :{length = 20,bytes = 0805191006300100000000002c431dc008bc0643}"""
1036,"""2021-12-29 12:22:10.738 receive data log :{length = 20,bytes = 08051a10a0120000000000000000000074000740}"""
1037,"""2021-12-29 12:22:10.740 receive data log :{length = 20,bytes = 08051b10016c8852401700000000000000000000}"""
1038,"""2021-12-29 12:22:10.742 receive data log :{length = 20,bytes = 08051c100000000000e4c00a70020c0747701340}"""
1039,"""2021-12-29 12:22:10.885 receive data log :{length = 20,bytes = 08051d100005b000040532e00d28810b30030000}"""
1040,"""2021-12-29 12:22:11.200 receive data log :{length = 20,bytes = 08051e10000000104214b005400005b000d80009}"""
1041,"""2021-12-29 12:22:11.202 receive data log :{length = 20,bytes = 08051f1050020000000000000000000000000000}"""
1042,"""2021-12-29 12:22:11.204 receive data log :{length = 20,bytes = 0805201000780006500100000000000000000000}"""
1043,"""2021-12-29 12:22:11.206 write data log :{length = 3,bytes = 080502}"""
1044,"""2021-12-29 12:22:11.207 receive data log :{length = 3,bytes = 08ee01}"""
1045,2021-12-29 12:22:11.533 sync health sport log :{
1046,head =     {
1047,day = 28;
1048,"""        """"items_count"""" = 96;"""
1049,"""        """"key_word"""" = 0;"""
1050,length = 12;
1051,"""        """"minute_offset"""" = 0;"""
1052,month = 12;
1053,"""        """"packets_count"""" = 40;"""
1054,"""        """"per_minute"""" = 15;"""
1055,reserved = 0;
1056,serial = 1;
1057,"""        """"total_active_time"""" = 2220;"""
1058,"""        """"total_cal"""" = 185;"""
1059,"""        """"total_distances"""" = 3434;"""
1060,"""        """"total_step"""" = 4977;"""
1061,year = 2020;
1062,};
1063,items =     (
1064,{
1065,"""            """"active_time"""" = 0;"""
1066,calories = 0;
1067,distance = 0;
1068,mode = 0;
1069,"""            """"sport_count"""" = 0;"""
1070,"""        },"""
1071,{
1072,"""            """"active_time"""" = 0;"""
1073,calories = 0;
1074,distance = 0;
1075,mode = 0;
1076,"""            """"sport_count"""" = 0;"""
1077,"""        },"""
1078,{
1079,"""            """"active_time"""" = 0;"""
1080,calories = 0;
1081,distance = 0;
1082,mode = 0;
1083,"""            """"sport_count"""" = 0;"""
1084,"""        },"""
1085,{
1086,"""            """"active_time"""" = 0;"""
1087,calories = 0;
1088,distance = 0;
1089,mode = 0;
1090,"""            """"sport_count"""" = 0;"""
1091,"""        },"""
1092,{
1093,"""            """"active_time"""" = 0;"""
1094,calories = 0;
1095,distance = 0;
1096,mode = 0;
1097,"""            """"sport_count"""" = 0;"""
1098,"""        },"""
1099,{
1100,"""            """"active_time"""" = 0;"""
1101,calories = 0;
1102,distance = 0;
1103,mode = 0;
1104,"""            """"sport_count"""" = 0;"""
1105,"""        },"""
1106,{
1107,"""            """"active_time"""" = 0;"""
1108,calories = 0;
1109,distance = 0;
1110,mode = 0;
1111,"""            """"sport_count"""" = 0;"""
1112,"""        },"""
1113,{
1114,"""            """"active_time"""" = 0;"""
1115,calories = 0;
1116,distance = 0;
1117,mode = 0;
1118,"""            """"sport_count"""" = 0;"""
1119,"""        },"""
1120,{
1121,"""            """"active_time"""" = 0;"""
1122,calories = 0;
1123,distance = 0;
1124,mode = 0;
1125,"""            """"sport_count"""" = 0;"""
1126,"""        },"""
1127,{
1128,"""            """"active_time"""" = 0;"""
1129,calories = 0;
1130,distance = 0;
1131,mode = 0;
1132,"""            """"sport_count"""" = 0;"""
1133,"""        },"""
1134,{
1135,"""            """"active_time"""" = 0;"""
1136,calories = 0;
1137,distance = 0;
1138,mode = 0;
1139,"""            """"sport_count"""" = 0;"""
1140,"""        },"""
1141,{
1142,"""            """"active_time"""" = 0;"""
1143,calories = 0;
1144,distance = 0;
1145,mode = 0;
1146,"""            """"sport_count"""" = 0;"""
1147,"""        },"""
1148,{
1149,"""            """"active_time"""" = 0;"""
1150,calories = 0;
1151,distance = 0;
1152,mode = 0;
1153,"""            """"sport_count"""" = 0;"""
1154,"""        },"""
1155,{
1156,"""            """"active_time"""" = 0;"""
1157,calories = 0;
1158,distance = 0;
1159,mode = 0;
1160,"""            """"sport_count"""" = 0;"""
1161,"""        },"""
1162,{
1163,"""            """"active_time"""" = 0;"""
1164,calories = 0;
1165,distance = 0;
1166,mode = 0;
1167,"""            """"sport_count"""" = 0;"""
1168,"""        },"""
1169,{
1170,"""            """"active_time"""" = 0;"""
1171,calories = 0;
1172,distance = 0;
1173,mode = 0;
1174,"""            """"sport_count"""" = 0;"""
1175,"""        },"""
1176,{
1177,"""            """"active_time"""" = 0;"""
1178,calories = 0;
1179,distance = 0;
1180,mode = 0;
1181,"""            """"sport_count"""" = 0;"""
1182,"""        },"""
1183,{
1184,"""            """"active_time"""" = 0;"""
1185,calories = 0;
1186,distance = 0;
1187,mode = 0;
1188,"""            """"sport_count"""" = 0;"""
1189,"""        },"""
1190,{
1191,"""            """"active_time"""" = 0;"""
1192,calories = 0;
1193,distance = 0;
1194,mode = 0;
1195,"""            """"sport_count"""" = 0;"""
1196,"""        },"""
1197,{
1198,"""            """"active_time"""" = 0;"""
1199,calories = 0;
1200,distance = 0;
1201,mode = 0;
1202,"""            """"sport_count"""" = 0;"""
1203,"""        },"""
1204,{
1205,"""            """"active_time"""" = 0;"""
1206,calories = 0;
1207,distance = 0;
1208,mode = 0;
1209,"""            """"sport_count"""" = 0;"""
1210,"""        },"""
1211,{
1212,"""            """"active_time"""" = 0;"""
1213,calories = 0;
1214,distance = 0;
1215,mode = 0;
1216,"""            """"sport_count"""" = 0;"""
1217,"""        },"""
1218,{
1219,"""            """"active_time"""" = 0;"""
1220,calories = 0;
1221,distance = 0;
1222,mode = 0;
1223,"""            """"sport_count"""" = 0;"""
1224,"""        },"""
1225,{
1226,"""            """"active_time"""" = 0;"""
1227,calories = 0;
1228,distance = 0;
1229,mode = 0;
1230,"""            """"sport_count"""" = 0;"""
1231,"""        },"""
1232,{
1233,"""            """"active_time"""" = 0;"""
1234,calories = 0;
1235,distance = 0;
1236,mode = 0;
1237,"""            """"sport_count"""" = 0;"""
1238,"""        },"""
1239,{
1240,"""            """"active_time"""" = 0;"""
1241,calories = 0;
1242,distance = 0;
1243,mode = 0;
1244,"""            """"sport_count"""" = 0;"""
1245,"""        },"""
1246,{
1247,"""            """"active_time"""" = 0;"""
1248,calories = 0;
1249,distance = 0;
1250,mode = 0;
1251,"""            """"sport_count"""" = 0;"""
1252,"""        },"""
1253,{
1254,"""            """"active_time"""" = 0;"""
1255,calories = 0;
1256,distance = 0;
1257,mode = 0;
1258,"""            """"sport_count"""" = 0;"""
1259,"""        },"""
1260,{
1261,"""            """"active_time"""" = 0;"""
1262,calories = 0;
1263,distance = 0;
1264,mode = 0;
1265,"""            """"sport_count"""" = 0;"""
1266,"""        },"""
1267,{
1268,"""            """"active_time"""" = 0;"""
1269,calories = 0;
1270,distance = 0;
1271,mode = 0;
1272,"""            """"sport_count"""" = 0;"""
1273,"""        },"""
1274,{
1275,"""            """"active_time"""" = 0;"""
1276,calories = 0;
1277,distance = 0;
1278,mode = 0;
1279,"""            """"sport_count"""" = 0;"""
1280,"""        },"""
1281,{
1282,"""            """"active_time"""" = 0;"""
1283,calories = 0;
1284,distance = 0;
1285,mode = 0;
1286,"""            """"sport_count"""" = 0;"""
1287,"""        },"""
1288,{
1289,"""            """"active_time"""" = 0;"""
1290,calories = 0;
1291,distance = 0;
1292,mode = 0;
1293,"""            """"sport_count"""" = 0;"""
1294,"""        },"""
1295,{
1296,"""            """"active_time"""" = 0;"""
1297,calories = 0;
1298,distance = 0;
1299,mode = 0;
1300,"""            """"sport_count"""" = 0;"""
1301,"""        },"""
1302,{
1303,"""            """"active_time"""" = 0;"""
1304,calories = 0;
1305,distance = 0;
1306,mode = 0;
1307,"""            """"sport_count"""" = 0;"""
1308,"""        },"""
1309,{
1310,"""            """"active_time"""" = 0;"""
1311,calories = 0;
1312,distance = 0;
1313,mode = 0;
1314,"""            """"sport_count"""" = 0;"""
1315,"""        },"""
1316,{
1317,"""            """"active_time"""" = 4;"""
1318,calories = 1;
1319,distance = 9;
1320,mode = 0;
1321,"""            """"sport_count"""" = 13;"""
1322,"""        },"""
1323,{
1324,"""            """"active_time"""" = 15;"""
1325,calories = 4;
1326,distance = 72;
1327,mode = 0;
1328,"""            """"sport_count"""" = 104;"""
1329,"""        },"""
1330,{
1331,"""            """"active_time"""" = 5;"""
1332,calories = 0;
1333,distance = 11;
1334,mode = 0;
1335,"""            """"sport_count"""" = 17;"""
1336,"""        },"""
1337,{
1338,"""            """"active_time"""" = 12;"""
1339,calories = 4;
1340,distance = 66;
1341,mode = 0;
1342,"""            """"sport_count"""" = 95;"""
1343,"""        },"""
1344,{
1345,"""            """"active_time"""" = 7;"""
1346,calories = 3;
1347,distance = 54;
1348,mode = 0;
1349,"""            """"sport_count"""" = 78;"""
1350,"""        },"""
1351,{
1352,"""            """"active_time"""" = 0;"""
1353,calories = 0;
1354,distance = 0;
1355,mode = 0;
1356,"""            """"sport_count"""" = 0;"""
1357,"""        },"""
1358,{
1359,"""            """"active_time"""" = 0;"""
1360,calories = 0;
1361,distance = 0;
1362,mode = 0;
1363,"""            """"sport_count"""" = 0;"""
1364,"""        },"""
1365,{
1366,"""            """"active_time"""" = 0;"""
1367,calories = 0;
1368,distance = 0;
1369,mode = 0;
1370,"""            """"sport_count"""" = 0;"""
1371,"""        },"""
1372,{
1373,"""            """"active_time"""" = 0;"""
1374,calories = 0;
1375,distance = 0;
1376,mode = 0;
1377,"""            """"sport_count"""" = 0;"""
1378,"""        },"""
1379,{
1380,"""            """"active_time"""" = 10;"""
1381,calories = 4;
1382,distance = 87;
1383,mode = 0;
1384,"""            """"sport_count"""" = 127;"""
1385,"""        },"""
1386,{
1387,"""            """"active_time"""" = 0;"""
1388,calories = 8;
1389,distance = 148;
1390,mode = 0;
1391,"""            """"sport_count"""" = 214;"""
1392,"""        },"""
1393,{
1394,"""            """"active_time"""" = 0;"""
1395,calories = 0;
1396,distance = 0;
1397,mode = 0;
1398,"""            """"sport_count"""" = 0;"""
1399,"""        },"""
1400,{
1401,"""            """"active_time"""" = 0;"""
1402,calories = 0;
1403,distance = 0;
1404,mode = 0;
1405,"""            """"sport_count"""" = 0;"""
1406,"""        },"""
1407,{
1408,"""            """"active_time"""" = 7;"""
1409,calories = 13;
1410,distance = 239;
1411,mode = 0;
1412,"""            """"sport_count"""" = 347;"""
1413,"""        },"""
1414,{
1415,"""            """"active_time"""" = 13;"""
1416,calories = 16;
1417,distance = 300;
1418,mode = 0;
1419,"""            """"sport_count"""" = 434;"""
1420,"""        },"""
1421,{
1422,"""            """"active_time"""" = 4;"""
1423,calories = 10;
1424,distance = 184;
1425,mode = 0;
1426,"""            """"sport_count"""" = 267;"""
1427,"""        },"""
1428,{
1429,"""            """"active_time"""" = 2;"""
1430,calories = 1;
1431,distance = 7;
1432,mode = 0;
1433,"""            """"sport_count"""" = 10;"""
1434,"""        },"""
1435,{
1436,"""            """"active_time"""" = 0;"""
1437,calories = 0;
1438,distance = 0;
1439,mode = 0;
1440,"""            """"sport_count"""" = 0;"""
1441,"""        },"""
1442,{
1443,"""            """"active_time"""" = 3;"""
1444,calories = 1;
1445,distance = 25;
1446,mode = 0;
1447,"""            """"sport_count"""" = 36;"""
1448,"""        },"""
1449,{
1450,"""            """"active_time"""" = 15;"""
1451,calories = 21;
1452,distance = 388;
1453,mode = 0;
1454,"""            """"sport_count"""" = 563;"""
1455,"""        },"""
1456,{
1457,"""            """"active_time"""" = 2;"""
1458,calories = 5;
1459,distance = 94;
1460,mode = 0;
1461,"""            """"sport_count"""" = 136;"""
1462,"""        },"""
1463,{
1464,"""            """"active_time"""" = 2;"""
1465,calories = 0;
1466,distance = 7;
1467,mode = 0;
1468,"""            """"sport_count"""" = 10;"""
1469,"""        },"""
1470,{
1471,"""            """"active_time"""" = 0;"""
1472,calories = 0;
1473,distance = 0;
1474,mode = 0;
1475,"""            """"sport_count"""" = 0;"""
1476,"""        },"""
1477,{
1478,"""            """"active_time"""" = 0;"""
1479,calories = 0;
1480,distance = 0;
1481,mode = 0;
1482,"""            """"sport_count"""" = 0;"""
1483,"""        },"""
1484,{
1485,"""            """"active_time"""" = 0;"""
1486,calories = 0;
1487,distance = 0;
1488,mode = 0;
1489,"""            """"sport_count"""" = 0;"""
1490,"""        },"""
1491,{
1492,"""            """"active_time"""" = 0;"""
1493,calories = 0;
1494,distance = 0;
1495,mode = 0;
1496,"""            """"sport_count"""" = 0;"""
1497,"""        },"""
1498,{
1499,"""            """"active_time"""" = 0;"""
1500,calories = 0;
1501,distance = 0;
1502,mode = 0;
1503,"""            """"sport_count"""" = 0;"""
1504,"""        },"""
1505,{
1506,"""            """"active_time"""" = 0;"""
1507,calories = 0;
1508,distance = 0;
1509,mode = 0;
1510,"""            """"sport_count"""" = 0;"""
1511,"""        },"""
1512,{
1513,"""            """"active_time"""" = 0;"""
1514,calories = 0;
1515,distance = 0;
1516,mode = 0;
1517,"""            """"sport_count"""" = 0;"""
1518,"""        },"""
1519,{
1520,"""            """"active_time"""" = 5;"""
1521,calories = 2;
1522,distance = 32;
1523,mode = 0;
1524,"""            """"sport_count"""" = 47;"""
1525,"""        },"""
1526,{
1527,"""            """"active_time"""" = 0;"""
1528,calories = 0;
1529,distance = 0;
1530,mode = 0;
1531,"""            """"sport_count"""" = 0;"""
1532,"""        },"""
1533,{
1534,"""            """"active_time"""" = 0;"""
1535,calories = 0;
1536,distance = 0;
1537,mode = 0;
1538,"""            """"sport_count"""" = 0;"""
1539,"""        },"""
1540,{
1541,"""            """"active_time"""" = 0;"""
1542,calories = 0;
1543,distance = 0;
1544,mode = 0;
1545,"""            """"sport_count"""" = 0;"""
1546,"""        },"""
1547,{
1548,"""            """"active_time"""" = 15;"""
1549,calories = 4;
1550,distance = 68;
1551,mode = 0;
1552,"""            """"sport_count"""" = 98;"""
1553,"""        },"""
1554,{
1555,"""            """"active_time"""" = 10;"""
1556,calories = 1;
1557,distance = 19;
1558,mode = 0;
1559,"""            """"sport_count"""" = 28;"""
1560,"""        },"""
1561,{
1562,"""            """"active_time"""" = 0;"""
1563,calories = 0;
1564,distance = 0;
1565,mode = 0;
1566,"""            """"sport_count"""" = 0;"""
1567,"""        },"""
1568,{
1569,"""            """"active_time"""" = 5;"""
1570,calories = 7;
1571,distance = 140;
1572,mode = 0;
1573,"""            """"sport_count"""" = 203;"""
1574,"""        },"""
1575,{
1576,"""            """"active_time"""" = 12;"""
1577,calories = 16;
1578,distance = 298;
1579,mode = 0;
1580,"""            """"sport_count"""" = 431;"""
1581,"""        },"""
1582,{
1583,"""            """"active_time"""" = 0;"""
1584,calories = 0;
1585,distance = 0;
1586,mode = 0;
1587,"""            """"sport_count"""" = 0;"""
1588,"""        },"""
1589,{
1590,"""            """"active_time"""" = 0;"""
1591,calories = 0;
1592,distance = 0;
1593,mode = 0;
1594,"""            """"sport_count"""" = 0;"""
1595,"""        },"""
1596,{
1597,"""            """"active_time"""" = 12;"""
1598,calories = 1;
1599,distance = 20;
1600,mode = 0;
1601,"""            """"sport_count"""" = 29;"""
1602,"""        },"""
1603,{
1604,"""            """"active_time"""" = 10;"""
1605,calories = 20;
1606,distance = 372;
1607,mode = 0;
1608,"""            """"sport_count"""" = 539;"""
1609,"""        },"""
1610,{
1611,"""            """"active_time"""" = 0;"""
1612,calories = 0;
1613,distance = 0;
1614,mode = 0;
1615,"""            """"sport_count"""" = 0;"""
1616,"""        },"""
1617,{
1618,"""            """"active_time"""" = 0;"""
1619,calories = 0;
1620,distance = 0;
1621,mode = 0;
1622,"""            """"sport_count"""" = 0;"""
1623,"""        },"""
1624,{
1625,"""            """"active_time"""" = 0;"""
1626,calories = 0;
1627,distance = 0;
1628,mode = 0;
1629,"""            """"sport_count"""" = 0;"""
1630,"""        },"""
1631,{
1632,"""            """"active_time"""" = 11;"""
1633,calories = 2;
1634,distance = 39;
1635,mode = 0;
1636,"""            """"sport_count"""" = 57;"""
1637,"""        },"""
1638,{
1639,"""            """"active_time"""" = 12;"""
1640,calories = 17;
1641,distance = 311;
1642,mode = 0;
1643,"""            """"sport_count"""" = 451;"""
1644,"""        },"""
1645,{
1646,"""            """"active_time"""" = 4;"""
1647,calories = 1;
1648,distance = 11;
1649,mode = 0;
1650,"""            """"sport_count"""" = 16;"""
1651,"""        },"""
1652,{
1653,"""            """"active_time"""" = 8;"""
1654,calories = 12;
1655,distance = 222;
1656,mode = 0;
1657,"""            """"sport_count"""" = 321;"""
1658,"""        },"""
1659,{
1660,"""            """"active_time"""" = 14;"""
1661,calories = 2;
1662,distance = 51;
1663,mode = 0;
1664,"""            """"sport_count"""" = 74;"""
1665,"""        },"""
1666,{
1667,"""            """"active_time"""" = 0;"""
1668,calories = 0;
1669,distance = 0;
1670,mode = 0;
1671,"""            """"sport_count"""" = 0;"""
1672,"""        },"""
1673,{
1674,"""            """"active_time"""" = 1;"""
1675,calories = 5;
1676,distance = 91;
1677,mode = 0;
1678,"""            """"sport_count"""" = 132;"""
1679,"""        },"""
1680,{
1681,"""            """"active_time"""" = 4;"""
1682,calories = 1;
1683,distance = 11;
1684,mode = 0;
1685,"""            """"sport_count"""" = 16;"""
1686,"""        },"""
1687,{
1688,"""            """"active_time"""" = 4;"""
1689,calories = 2;
1690,distance = 37;
1691,mode = 0;
1692,"""            """"sport_count"""" = 54;"""
1693,"""        },"""
1694,{
1695,"""            """"active_time"""" = 0;"""
1696,calories = 0;
1697,distance = 0;
1698,mode = 0;
1699,"""            """"sport_count"""" = 0;"""
1700,"""        },"""
1701,{
1702,"""            """"active_time"""" = 0;"""
1703,calories = 0;
1704,distance = 0;
1705,mode = 0;
1706,"""            """"sport_count"""" = 0;"""
1707,"""        },"""
1708,{
1709,"""            """"active_time"""" = 0;"""
1710,calories = 0;
1711,distance = 0;
1712,mode = 0;
1713,"""            """"sport_count"""" = 0;"""
1714,"""        },"""
1715,{
1716,"""            """"active_time"""" = 8;"""
1717,calories = 1;
1718,distance = 21;
1719,mode = 0;
1720,"""            """"sport_count"""" = 30;"""
1721,"""        },"""
1722,{
1723,"""            """"active_time"""" = 0;"""
1724,calories = 0;
1725,distance = 0;
1726,mode = 0;
1727,"""            """"sport_count"""" = 0;"""
1728,"""        },"""
1729,{
1730,"""            """"active_time"""" = 0;"""
1731,calories = 0;
1732,distance = 0;
1733,mode = 0;
1734,"""            """"sport_count"""" = 0;"""
1735,}
1736,);
1737,"""    type = """"sport_step"""";"""
1738,}
1739,"""2021-12-29 12:22:11.539 receive data log :{length = 5,bytes = 0805020000}"""
1740,"""2021-12-29 12:22:11.550 write data log :{length = 5,bytes = 0808010000}"""
1741,"""2021-12-29 12:22:11.838 receive data log :{length = 20,bytes = 0808010ce4070c1c03003ef600290000ccad0020}"""
1742,"""2021-12-29 12:22:11.844 receive data log :{length = 20,bytes = 080802117b90b9000000000000670000a4000000}"""
1743,"""2021-12-29 12:22:11.850 receive data log :{length = 20,bytes = 080803100079057a06940567057f0688057a066e}"""
1744,"""2021-12-29 12:22:11.853 receive data log :{length = 20,bytes = 080804100583057a067f058805690668056b0590}"""
1745,"""2021-12-29 12:22:11.855 receive data log :{length = 20,bytes = 0808051006750562056806790560056a06740574}"""
1746,"""2021-12-29 12:22:11.857 receive data log :{length = 20,bytes = 0808061005910682058a0568067d058505750679}"""
1747,"""2021-12-29 12:22:11.858 receive data log :{length = 20,bytes = 08080710058e058f068d05860686058205880661}"""
1748,"""2021-12-29 12:22:11.860 receive data log :{length = 20,bytes = 08080810057b058c066d057c056406730596057a}"""
1749,"""2021-12-29 12:22:11.989 receive data log :{length = 20,bytes = 08080910067c058a067f055305790686056b0581}"""
1750,"""2021-12-29 12:22:11.994 receive data log :{length = 20,bytes = 08080a100680057a05760668057d066e056e0576}"""
1751,"""2021-12-29 12:22:12.306 receive data log :{length = 20,bytes = 08080b100683058f056d06740573056506740585}"""
1752,"""2021-12-29 12:22:12.314 receive data log :{length = 20,bytes = 08080c10057c06910583057b067d058405880670}"""
1753,"""2021-12-29 12:22:12.319 receive data log :{length = 20,bytes = 08080d100575057f065c056c069c0582056e0675}"""
1754,"""2021-12-29 12:22:12.322 receive data log :{length = 20,bytes = 08080e100571058806850564055d069b056c0553}"""
1755,"""2021-12-29 12:22:12.325 receive data log :{length = 20,bytes = 08080f100681057a057106710589069505660570}"""
1756,"""2021-12-29 12:22:12.327 receive data log :{length = 20,bytes = 080810100679057b053a063906a505550698055a}"""
1757,"""2021-12-29 12:22:12.329 receive data log :{length = 20,bytes = 0808111006760540066d063e05610b480b58064c}"""
1758,"""2021-12-29 12:22:12.331 receive data log :{length = 20,bytes = 08081210053c0c3c0548055a0671087b05440561}"""
1759,"""2021-12-29 12:22:12.333 receive data log :{length = 20,bytes = 08081310065c0b52063d054d053906440c7f065a}"""
1760,"""2021-12-29 12:22:12.464 receive data log :{length = 20,bytes = 08081410065a05780555067005470679055c0576}"""
1761,"""2021-12-29 12:22:12.781 receive data log :{length = 20,bytes = 080815100652057206770548064b0853064b0b4c}"""
1762,"""2021-12-29 12:22:12.786 receive data log :{length = 20,bytes = 0808161005450669059106510634055806620574}"""
1763,"""2021-12-29 12:22:12.789 receive data log :{length = 20,bytes = 08081710065a0554054b06530652055206480b58}"""
1764,"""2021-12-29 12:22:12.793 receive data log :{length = 20,bytes = 0808181005540654056e055006420b7e064b0562}"""
1765,"""2021-12-29 12:22:12.796 receive data log :{length = 20,bytes = 080819100c460b6c0553065a05620c5405310677}"""
1766,"""2021-12-29 12:22:12.798 receive data log :{length = 20,bytes = 08081a10055d06390b66064f0572066005480631}"""
1767,"""2021-12-29 12:22:12.801 receive data log :{length = 20,bytes = 08081b10064806460590057d0666056e056f094f}"""
1768,"""2021-12-29 12:22:12.803 receive data log :{length = 20,bytes = 08081c100556065405460659053f053e066f0549}"""
1769,"""2021-12-29 12:22:12.804 receive data log :{length = 20,bytes = 08081d1006590b4605350743068705730559066e}"""
1770,"""2021-12-29 12:22:12.936 receive data log :{length = 20,bytes = 08081e100b43065d05330761055506460551076f}"""
1771,"""2021-12-29 12:22:13.250 receive data log :{length = 20,bytes = 08081f100b4006560645056605470655053c063f}"""
1772,"""2021-12-29 12:22:13.257 receive data log :{length = 20,bytes = 08082010054d055006940541064205420549064d}"""
1773,"""2021-12-29 12:22:13.263 receive data log :{length = 16,bytes = 0808210c0b57066a05790587067305aa}"""
1774,"""2021-12-29 12:22:13.268 write data log :{length = 3,bytes = 080802}"""
1775,"""2021-12-29 12:22:13.271 receive data log :{length = 3,bytes = 08ee05}"""
1776,2021-12-29 12:22:13.588 sync health heart rate log :{
1777,head =     {
1778,"""        """"aerobic_mins"""" = 0;"""
1779,"""        """"aerobic_threshold"""" = 144;"""
1780,"""        """"anaerobic_mins"""" = 0;"""
1781,"""        """"anaerobic_threshold"""" = 164;"""
1782,"""        """"burn_fat_mins"""" = 0;"""
1783,"""        """"burn_fat_threshold"""" = 123;"""
1784,day = 28;
1785,"""        """"items_count"""" = 246;"""
1786,length = 12;
1787,"""        """"limit_mins"""" = 0;"""
1788,"""        """"limit_threshold"""" = 185;"""
1789,"""        """"minute_offset"""" = 3;"""
1790,month = 12;
1791,"""        """"packets_count"""" = 41;"""
1792,serial = 1;
1793,"""        """"silent_heart_rate"""" = 62;"""
1794,"""        """"user_max_hr"""" = 0;"""
1795,"""        """"warm_up_mins"""" = 0;"""
1796,"""        """"warm_up_threshold"""" = 103;"""
